Time,Sample,Plot,Device,% Vol,Error,% Vol,Error,% Vol,Error,% Vol,Error,% Vol,Error,% Vol,Error
29/05/2022  12:31:17,136,F,0,31.5, ,22.8, ,6.2, ,33.5, ,49.3, ,22.5, 
29/05/2022  12:56:11,137,G,0,25.5, ,29, ,13.6, ,17.5, ,24.5, ,16.8, 
29/05/2022  13:03:28,138,H,0,24.5, ,13.4, ,       ,L,8.3, ,26.5, ,39.3, 
29/05/2022  13:24:27,139,Q,0,13.8, ,10.5, ,1.8, ,19.6, ,14.1, ,20.2, 
29/05/2022  13:28:47,140,P,0,14.3, ,10.2, ,       ,L,7, ,4.5, ,18.8, 
29/05/2022  13:33:57,141,O,0,6.2, ,7.4, ,       ,O,       ,L,4.2, ,7.1, 
29/05/2022  13:42:26,142,M,0,8.7, ,6.9, ,       ,L,3.3, ,6.2, ,18.8, 
29/05/2022  13:52:31,143,N,0,12.8, ,4, ,       ,L,18, ,24, ,24, 
29/05/2022  14:03:34,144,L,0,13.9, ,7.4, ,       ,O,0.9, ,7.7, ,17.5, 
29/05/2022  15:00:22,145,I,0,9.7, ,11.2, ,       ,L,7.3, ,14.5, ,24.6, 
29/05/2022  15:10:42,146,J,0,5.2, ,5.7, ,       ,L,2, ,4.7, ,13.7, 
29/05/2022  15:23:45,147,K,0,11.3, ,3.4, ,       ,O,4.1, ,       ,L,29.5, 
31/05/2022  09:40:13,148,B,0,12.3, ,17.1, ,       ,L,34.7, ,45.2, ,37.3, 
31/05/2022  09:43:04,149,C,0,9.5, ,9, ,3.9, ,25.8, ,26.9, ,29.8, 
31/05/2022  09:48:32,150,D,0,18.6, ,22.2, ,3.3, ,28, ,38.4, ,38.4, 
31/05/2022  10:00:06,151,S,0,17.4, ,13.6, ,       ,L,9, ,19.1, ,28.3, 
31/05/2022  10:08:26,152,T,0,6, ,10.7, ,       ,L,13.1, ,10.3, ,20.4, 
31/05/2022  10:15:43,153,A,0,15, ,5.5, ,7.6, ,15.3, ,17, ,33.5, 
31/05/2022  10:26:23,154,R,0,19.8, ,21.6, ,3.9, ,13.6, ,16.4, ,37.7, 
31/05/2022  10:32:21,155,E,0,13.1, ,23.5, ,18.4, ,41.7, ,46, ,47.6, 
31/05/2022  10:38:24,156,F,0,31.6, ,22.8, ,8.6, ,33.5, ,48.1, ,25.7, 
31/05/2022  11:04:54,157,G,0,14.4, ,30.3, ,12.4, ,27.4, ,23.6, ,15.6, 
31/05/2022  11:12:19,158,G,0,23.6, ,16, ,0.7, ,10.6, ,29.3, ,40.6, 
31/05/2022  11:43:55,159,Q,0,10, ,8.3, ,       ,L,18.1, ,13.9, ,22.7, 
31/05/2022  11:50:30,160,P,0,15.4, ,10.1, ,       ,L,6.7, ,5.1, ,19.2, 
31/05/2022  11:55:21,161,O,0,7.3, ,9.2, ,       ,O,       ,L,4.4, ,8.4, 
31/05/2022  12:06:44,162,O,0,13.6, ,7.6, ,       ,O,1.5, ,9.4, ,21.7, 
31/05/2022  12:08:08,163,N,0,13.5, ,7.5, ,       ,O,1.4, ,9.3, ,21.7, 
31/05/2022  12:20:16,164,M,0,7.4, ,8.6, ,       ,L,4.3, ,5.6, ,19.4, 
31/05/2022  12:28:30,165,L,0,12.5, ,3.2, ,       ,L,17.3, ,23.7, ,24.1, 
31/05/2022  13:24:41,166,H,0,23.2, ,14.3, ,       ,L,9.1, ,28, ,40.5, 
31/05/2022  13:54:07,167,I,0,8.6, ,9.5, ,       ,L,5.7, ,18.8, ,26.2, 
31/05/2022  14:00:52,168,J,0,4.9, ,7.2, ,       ,L,1.8, ,5, ,9.4, 
